Mom_ID,Year,Pop,n_Seeds,h_Pollen_Pool,Bootstrap_SE,Outcrossing,Outcrossing_SE,Biparental_Inbreeding,Biparental_Inbreeding_SE,Area_ha,Percent_Forest,Elevation,Proportion_High_Mobility,SE_High_Mobility
36B_2016,2016,36,12,0.46044499,0.037467203,0.769,0.366,0.053,0.026,74.53,31.6,1153.3,,
36C_2013,2013,36,7,0.451406001,0.03977851,0.75,0.363,0.258,0.125,74.53,31.6,1153.3,,
36C_2016,2016,36,11,0.418104628,0.051984054,0.697,0.337,0.195,0.095,74.53,31.6,1153.3,,
36D_2013,2013,36,10,0.503156196,0.031393318,0.729,0.35,0.223,0.108,74.53,31.6,1153.3,,
36E_2016,2016,36,13,0.543986272,0.037084098,0.878,0.428,0.071,0.035,74.53,31.6,1153.3,,
37A_2013,2013,37,9,0.441732989,0.035104132,0.8,0.388,0.384,0.185,89.14,38.69,980.22,,
37B_2013,2013,37,5,0.346367244,0.035565449,1,0.578,0.545,0.358,89.14,38.69,980.22,,
37C_2013,2013,37,5,0.24773423,0.028463857,1,0.575,0.572,0.378,89.14,38.69,980.22,,
38A_2013,2013,38,13,0.366630213,0.042641858,0.787,0.376,0.463,0.221,10.13,37.87,980.02,,
38B_2013,2013,38,5,0.269090909,0.072360483,0.667,0.319,0.408,0.195,10.13,37.87,980.02,,
39B_2013,2013,39,9,0.535847665,0.037038375,1,0.573,0.255,0.216,75.79,30.79,942.27,,
39B_2016,2016,39,11,0.515953965,0.044739695,0.836,0.404,0.232,0.112,75.79,30.79,942.27,,
39C_2013,2013,39,5,0.448059736,0.062569579,1,0.572,0.177,0.184,75.79,30.79,942.27,,
39C_2016,2016,39,21,0.4249697,0.023591939,0.84,0.396,0.207,0.097,75.79,30.79,942.27,,
39D_2013,2013,39,5,0.504781145,0.073021459,1,0.578,0.191,0.187,75.79,30.79,942.27,,
39E_2013,2013,39,5,0.416272933,0.054706068,1,0.575,0.384,0.278,75.79,30.79,942.27,,
40A_2016,2016,40,16,0.533621609,0.028304729,0.826,0.395,-0.043,0.022,95.28,42.09,910.8,0.666666667,0.096225045
40B_2016,2016,40,6,0.494552469,0.054180516,1,0.567,0,0.051,95.28,42.09,910.8,0.666666667,0.096225045
40C_2016,2016,40,11,0.495500211,0.044742823,0.92,0.436,0.028,0.014,95.28,42.09,910.8,0.666666667,0.096225045
40D_2016,2016,40,9,0.557366723,0.045812743,1,0.583,0.223,0.205,95.28,42.09,910.8,0.666666667,0.096225045
40E_2016,2016,40,11,0.502370849,0.031675189,0.644,0.317,0.126,0.062,95.28,42.09,910.8,0.666666667,0.096225045
49B_2013,2013,49,5,0.297200577,0.067840396,1,0.581,0.588,0.271,4.86,18.46,985.64,0.392857143,0.092296186
49D_2013,2013,49,5,0.348686869,0.070836308,0.667,0.317,0.143,0.068,4.86,18.46,985.64,0.392857143,0.092296186
49E_2013,2013,49,10,0.420539406,0.03847311,0.728,0.352,0.288,0.139,4.86,18.46,985.64,0.392857143,0.092296186
50A_2013,2013,50,6,0.51627385,0.06236131,1,0.57,0.315,0.15,3.18,19.14,1141.41,0.368421053,0.110664733
50A_2016,2016,50,6,0.399202484,0.038386518,1,0.585,0.587,0.286,3.18,19.14,1141.41,0.368421053,0.110664733
50B_2016,2016,50,19,0.456814986,0.025585052,0.859,0.41,0.172,0.082,3.18,19.14,1141.41,0.368421053,0.110664733
50C_2013,2013,50,13,0.436474766,0.027928596,0.745,0.358,0.279,0.134,3.18,19.14,1141.41,0.368421053,0.110664733
50D_2016,2016,50,11,0.487291617,0.057489142,1,0.578,0.537,0.259,3.18,19.14,1141.41,0.368421053,0.110664733
50E_2013,2013,50,19,0.398577743,0.02968253,0.9,0.429,0.312,0.148,3.18,19.14,1141.41,0.368421053,0.110664733
50E_2016,2016,50,10,0.466006944,0.037084477,0.909,0.442,0.072,0.037,3.18,19.14,1141.41,0.368421053,0.110664733
52A_2013,2013,52,8,0.377726194,0.066252225,0.556,0.265,0.134,0.063,3.4,51.57,1303.54,,
52B_2013,2013,52,11,0.308966295,0.052354619,0.917,0.441,0.492,0.236,3.4,51.57,1303.54,,
52C_2013,2013,52,10,0.343037816,0.036757872,0.729,0.35,0.412,0.197,3.4,51.57,1303.54,,
52D_2013,2013,52,5,0.283232323,0.111087585,0.833,0.397,0.478,0.224,3.4,51.57,1303.54,,
52E_2013,2013,52,10,0.318090238,0.045835436,0.731,0.353,0.377,0.182,3.4,51.57,1303.54,,
55A_2013,2013,55,6,0.364911616,0.037188622,1,0.585,0.428,0.305,25.42,41.65,1411.47,,
55B_2013,2013,55,10,0.483227413,0.038765916,0.909,0.426,0.262,0.123,25.42,41.65,1411.47,,
55D_2013,2013,55,10,0.436850881,0.04959255,0.909,0.426,0.317,0.148,25.42,41.65,1411.47,,
55E_2013,2013,55,5,0.387216296,0.041846927,1,0.578,0.247,0.211,25.42,41.65,1411.47,,
56A_2016,2016,56,11,0.525656983,0.036645333,1,0.542,0.192,0.149,15.97,45.58,1135.15,0.517241379,0.092792452
56B_2016,2016,56,10,0.412099925,0.036973868,1,0.57,0.093,0.139,15.97,45.58,1135.15,0.517241379,0.092792452
56C_2016,2016,56,11,0.424327261,0.034796068,0.753,0.361,0.34,0.164,15.97,45.58,1135.15,0.517241379,0.092792452
58A_2013,2013,58,11,0.446047847,0.026312632,0.918,0.441,0.224,0.108,8.8,21.67,1371.38,0.592592593,0.094560702
58A_2016,2016,58,9,0.558524456,0.045779334,0.93,0.441,-0.07,0.049,8.8,21.67,1371.38,0.592592593,0.094560702
58B_2013,2013,58,10,0.480065996,0.024632736,1,0.57,0.392,0.188,8.8,21.67,1371.38,0.592592593,0.094560702
58B_2016,2016,58,10,0.50922763,0.034899994,0.828,0.393,0.105,0.05,8.8,21.67,1371.38,0.592592593,0.094560702
58C_2013,2013,58,11,0.4977673,0.036960673,1,0.578,0.521,0.244,8.8,21.67,1371.38,0.592592593,0.094560702
58D_2013,2013,58,11,0.532274579,0.031155718,1,0.565,0.314,0.148,8.8,21.67,1371.38,0.592592593,0.094560702
58D_2016,2016,58,11,0.482056782,0.029195592,0.917,0.445,0.141,0.069,8.8,21.67,1371.38,0.592592593,0.094560702
58E_2013,2013,58,7,0.483294266,0.053310025,1,0.582,0.405,0.197,8.8,21.67,1371.38,0.592592593,0.094560702
58E_2016,2016,58,11,0.524144742,0.03968582,0.92,0.438,0.066,0.032,8.8,21.67,1371.38,0.592592593,0.094560702
59A_2013,2013,59,11,0.377883711,0.027377181,0.504,0.244,0.287,0.139,8.14,15.83,1075.28,,
59B_2013,2013,59,11,0.3200138,0.030891564,0.589,0.282,0.334,0.16,8.14,15.83,1075.28,,
59C_2013,2013,59,11,0.311479013,0.051777889,0.834,0.404,0.522,0.252,8.14,15.83,1075.28,,
59D_2013,2013,59,8,0.346437991,0.037600751,1,0.585,0.642,0.41,8.14,15.83,1075.28,,
60A_2013,2013,60,7,0.266813544,0.048254455,0.75,0.362,0.438,0.211,1.69,24,1110.79,0.444444444,0.117121395
60B_2013,2013,60,10,0.383427832,0.029336658,0.82,0.393,0.459,0.221,1.69,24,1110.79,0.444444444,0.117121395
60C_2013,2013,60,6,0.357034775,0.06810284,0.571,0.278,0.219,0.107,1.69,24,1110.79,0.444444444,0.117121395
60D_2013,2013,60,5,0.304691358,0.037372866,1,0.575,0.532,0.255,1.69,24,1110.79,0.444444444,0.117121395
62A_2016,2016,62,16,0.487807463,0.021187181,0.956,0.463,0.072,0.038,0.68,70.32,911.93,,
62C_2016,2016,62,11,0.479853237,0.035909932,1,0.577,0.071,0.132,0.68,70.32,911.93,,
62E_2016,2016,62,11,0.507907315,0.029842303,0.688,0.329,0.17,0.083,0.68,70.32,911.93,,
63A_2013,2013,63,11,0.48837531,0.027094647,1,0.573,0.377,0.275,1035.52,62.87,945.18,0.5,0.075377836
63A_2016,2016,63,13,0.478007202,0.02492015,0.786,0.377,0.241,0.116,1035.52,62.87,945.18,0.5,0.075377836
63B_2013,2013,63,10,0.534955008,0.04028618,1,0.568,0.205,0.19,1035.52,62.87,945.18,0.5,0.075377836
63B_2016,2016,63,15,0.440716348,0.029748854,1,0.581,0.324,0.253,1035.52,62.87,945.18,0.5,0.075377836
63C_2013,2013,63,10,0.520855121,0.025757793,1,0.572,0.089,0.139,1035.52,62.87,945.18,0.5,0.075377836
63C_2016,2016,63,5,0.466060606,0.085014651,0.834,0.402,0.271,0.13,1035.52,62.87,945.18,0.5,0.075377836
63D_2013,2013,63,5,0.442197485,0.068005584,1,0.582,0.248,0.218,1035.52,62.87,945.18,0.5,0.075377836
63E_2013,2013,63,8,0.508380144,0.028898066,1,0.579,0.402,0.29,1035.52,62.87,945.18,0.5,0.075377836
63E_2016,2016,63,10,0.508563712,0.026248877,0.837,0.398,0.004,0.013,1035.52,62.87,945.18,0.5,0.075377836
